gen	female	male	gen_type	cultivar_name	maturity	city	state	trial	block	yield
H001	F01	M01	experimental	NA	100	Chapadão do Sul	MS	TRL_CPS_2025	B1	8312.4
H001	F01	M01	experimental	NA	100	Chapadão do Sul	MS	TRL_CPS_2025	B2	7443.4
H001	F01	M01	experimental	NA	100	Chapadão do Sul	MS	TRL_CPS_2025	B3	7709.2
H001	F01	M01	experimental	NA	100	Dourados	MS	TRL_DOU_2025	B1	4331.1
H001	F01	M01	experimental	NA	100	Dourados	MS	TRL_DOU_2025	B2	4570.1
H001	F01	M01	experimental	NA	100	Dourados	MS	TRL_DOU_2025	B3	4365.5
H001	F01	M01	experimental	NA	100	Jataí	GO	TRL_JAT_2025	B1	6461.4
H001	F01	M01	experimental	NA	100	Jataí	GO	TRL_JAT_2025	B2	7376.8
H001	F01	M01	experimental	NA	100	Jataí	GO	TRL_JAT_2025	B3	5841.7
H001	F01	M01	experimental	NA	100	Rio Verde	GO	TRL_RVD_2025	B1	6351.2
H001	F01	M01	experimental	NA	100	Rio Verde	GO	TRL_RVD_2025	B2	7545.4
H001	F01	M01	experimental	NA	100	Rio Verde	GO	TRL_RVD_2025	B3	6720.3
H001	F01	M01	experimental	NA	100	Sinop	MT	TRL_SIN_2025	B1	5470.1
H001	F01	M01	experimental	NA	100	Sinop	MT	TRL_SIN_2025	B2	6240.4
H001	F01	M01	experimental	NA	100	Sinop	MT	TRL_SIN_2025	B3	4315.2
H001	F01	M01	experimental	NA	100	Sorriso	MT	TRL_SOR_2025	B1	5133.5
H001	F01	M01	experimental	NA	100	Sorriso	MT	TRL_SOR_2025	B2	3926.1
H001	F01	M01	experimental	NA	100	Sorriso	MT	TRL_SOR_2025	B3	5608.2
H002	F02	M01	experimental	NA	113	Chapadão do Sul	MS	TRL_CPS_2025	B1	7070.9
H002	F02	M01	experimental	NA	113	Chapadão do Sul	MS	TRL_CPS_2025	B2	7374.2
H002	F02	M01	experimental	NA	113	Chapadão do Sul	MS	TRL_CPS_2025	B3	6761.9
H002	F02	M01	experimental	NA	113	Rio Verde	GO	TRL_RVD_2025	B1	6525.5
H002	F02	M01	experimental	NA	113	Rio Verde	GO	TRL_RVD_2025	B2	6177.7
H002	F02	M01	experimental	NA	113	Rio Verde	GO	TRL_RVD_2025	B3	6717.3
H002	F02	M01	experimental	NA	113	Sinop	MT	TRL_SIN_2025	B1	5357.1
H002	F02	M01	experimental	NA	113	Sinop	MT	TRL_SIN_2025	B2	4267.3
H002	F02	M01	experimental	NA	113	Sinop	MT	TRL_SIN_2025	B3	4429
H002	F02	M01	experimental	NA	113	Sorriso	MT	TRL_SOR_2025	B1	6250.6
H002	F02	M01	experimental	NA	113	Sorriso	MT	TRL_SOR_2025	B2	6109.1
H002	F02	M01	experimental	NA	113	Sorriso	MT	TRL_SOR_2025	B3	6856
H003	F03	M01	experimental	NA	105	Chapadão do Sul	MS	TRL_CPS_2025	B1	6362.9
H003	F03	M01	experimental	NA	105	Chapadão do Sul	MS	TRL_CPS_2025	B2	7480.3
H003	F03	M01	experimental	NA	105	Chapadão do Sul	MS	TRL_CPS_2025	B3	8232.9
H003	F03	M01	experimental	NA	105	Jataí	GO	TRL_JAT_2025	B1	6404.8
H003	F03	M01	experimental	NA	105	Jataí	GO	TRL_JAT_2025	B2	7661.5
H003	F03	M01	experimental	NA	105	Jataí	GO	TRL_JAT_2025	B3	6957.2
H003	F03	M01	experimental	NA	105	Rio Verde	GO	TRL_RVD_2025	B1	7448.6
H003	F03	M01	experimental	NA	105	Rio Verde	GO	TRL_RVD_2025	B2	7249.1
H003	F03	M01	experimental	NA	105	Rio Verde	GO	TRL_RVD_2025	B3	7347.4
