gen	env	location	state	lat	lon	block	y
CHK01	E1	Anapolis	GO	-16.33	-48.95	B1	3592.1
CHK01	E1	Anapolis	GO	-16.33	-48.95	B2	3033.7
CHK01	E1	Anapolis	GO	-16.33	-48.95	B3	3525
CHK02	E1	Anapolis	GO	-16.33	-48.95	B1	3340.5
CHK02	E1	Anapolis	GO	-16.33	-48.95	B2	3328
CHK02	E1	Anapolis	GO	-16.33	-48.95	B3	3228.4
CHK03	E1	Anapolis	GO	-16.33	-48.95	B1	2786.3
CHK03	E1	Anapolis	GO	-16.33	-48.95	B2	2365.9
CHK03	E1	Anapolis	GO	-16.33	-48.95	B3	2173.1
CHK04	E1	Anapolis	GO	-16.33	-48.95	B1	3434.2
CHK04	E1	Anapolis	GO	-16.33	-48.95	B2	3922.9
CHK04	E1	Anapolis	GO	-16.33	-48.95	B3	4366.5
L001	E1	Anapolis	GO	-16.33	-48.95	B1	2930.6
L001	E1	Anapolis	GO	-16.33	-48.95	B2	2842.6
L001	E1	Anapolis	GO	-16.33	-48.95	B3	2956.2
L002	E1	Anapolis	GO	-16.33	-48.95	B1	3796
L002	E1	Anapolis	GO	-16.33	-48.95	B2	2962.2
L002	E1	Anapolis	GO	-16.33	-48.95	B3	2996.8
L003	E1	Anapolis	GO	-16.33	-48.95	B1	2775.2
L003	E1	Anapolis	GO	-16.33	-48.95	B2	2638.6
L003	E1	Anapolis	GO	-16.33	-48.95	B3	2788.7
L004	E1	Anapolis	GO	-16.33	-48.95	B1	3406
L004	E1	Anapolis	GO	-16.33	-48.95	B2	2872
L004	E1	Anapolis	GO	-16.33	-48.95	B3	2643.7
L005	E1	Anapolis	GO	-16.33	-48.95	B1	2938.7
L005	E1	Anapolis	GO	-16.33	-48.95	B2	3948.9
L005	E1	Anapolis	GO	-16.33	-48.95	B3	3415.1
L006	E1	Anapolis	GO	-16.33	-48.95	B1	3062.7
L006	E1	Anapolis	GO	-16.33	-48.95	B2	3063.8
L006	E1	Anapolis	GO	-16.33	-48.95	B3	3056.1
L007	E1	Anapolis	GO	-16.33	-48.95	B1	3288.5
L007	E1	Anapolis	GO	-16.33	-48.95	B2	3771.2
L007	E1	Anapolis	GO	-16.33	-48.95	B3	3456.4
L008	E1	Anapolis	GO	-16.33	-48.95	B1	3246.1
L008	E1	Anapolis	GO	-16.33	-48.95	B2	3604.2
L008	E1	Anapolis	GO	-16.33	-48.95	B3	4596.8
L009	E1	Anapolis	GO	-16.33	-48.95	B1	2300.8
L009	E1	Anapolis	GO	-16.33	-48.95	B2	1715.9
L009	E1	Anapolis	GO	-16.33	-48.95	B3	2401.4
L010	E1	Anapolis	GO	-16.33	-48.95	B1	2433.5
L010	E1	Anapolis	GO	-16.33	-48.95	B2	1900.6
L010	E1	Anapolis	GO	-16.33	-48.95	B3	2382.3
L011	E1	Anapolis	GO	-16.33	-48.95	B1	4216.5
L011	E1	Anapolis	GO	-16.33	-48.95	B2	2938
